AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
0.0,976.6,0.0,0.0,0.01,0.71,0.36
0.0,973.4,0.0,-0.01,0.0,0.71,0.36
0.0,979.6,0.0,-0.02,0.0,0.73,0.36
0.0,980.0,0.0,0.0,0.01,0.74,0.37
0.0,980.8,0.0,-0.02,-0.02,0.73,0.37
0.0,984.9,0.0,0.0,-0.02,0.74,0.37
0.0,981.2,0.0,-0.01,-0.01,0.74,0.36
0.0,979.8,0.0,-0.01,0.0,0.77,0.35
0.0,978.0,0.0,0.0,0.0,0.74,0.36
0.0,984.9,0.0,-0.01,0.0,0.74,0.38
0.0,981.3,0.0,-0.01,0.02,0.71,0.37
0.0,983.2,0.0,-0.01,-0.02,0.71,0.4
0.0,977.7,0.0,0.01,0.02,0.78,0.38
0.0,970.8,0.0,0.0,0.02,0.76,0.33
0.0,972.0,0.0,-0.01,-0.01,0.71,0.35
0.0,972.8,0.0,-0.01,0.01,0.73,0.43
0.0,972.8,0.0,0.01,-0.04,0.63,0.41
0.0,972.0,0.0,-0.01,0.0,0.7,0.36
0.0,969.5,0.0,-0.02,-0.03,0.67,0.38
0.0,972.7,0.0,-0.01,0.04,0.69,0.37
0.0,969.5,0.0,0.0,-0.04,0.68,0.42
0.0,967.3,0.0,0.0,-0.02,0.69,0.44
0.0,967.6,0.0,0.01,0.02,0.74,0.43
0.0,969.8,0.0,0.0,-0.04,0.69,0.42
0.0,967.7,0.0,0.01,0.03,0.71,0.41
0.0,967.2,0.0,0.0,0.0,0.73,0.4
0.0,959.9,0.0,0.01,0.01,0.75,0.35
0.0,960.9,0.0,-0.02,-0.04,0.63,0.31
0.0,959.3,0.0,-0.01,0.0,0.71,0.38
0.0,956.5,0.0,-0.02,-0.01,0.75,0.37
0.0,954.2,0.0,-0.03,0.03,0.78,0.3
0.0,943.5,0.0,-0.01,0.0,0.73,0.34
0.0,943.1,0.0,0.01,0.0,0.67,0.36
0.0,954.5,0.0,-0.01,0.02,0.68,0.32
0.0,957.7,0.0,-0.02,-0.03,0.68,0.38
0.0,962.2,0.0,0.01,0.02,0.68,0.42
0.0,962.7,0.0,0.0,-0.01,0.6,0.36
0.0,960.5,0.0,0.0,-0.02,0.68,0.38
2.0,958.8,0.0,0.01,0.02,0.77,0.43
1.0,961.8,0.0,-0.01,0.0,0.75,0.44
1.0,965.8,0.0,-0.01,0.01,0.77,0.43
1.0,955.8,0.0,0.01,0.0,0.76,0.44
1.0,961.9,0.0,-0.01,-0.01,0.77,0.44
0.0,964.2,0.0,-0.01,0.0,0.79,0.38
0.0,966.6,0.0,-0.02,0.0,0.73,0.4
0.0,961.2,0.0,-0.02,-0.02,0.74,0.44
0.0,965.1,0.0,-0.02,0.02,0.81,0.43
0.0,965.6,0.0,-0.02,-0.02,0.76,0.37
0.0,965.7,0.0,-0.02,0.01,0.73,0.42
0.0,967.0,0.0,-0.03,-0.01,0.7,0.38
1.0,963.7,0.0,0.0,-0.03,0.73,0.37
1.0,963.6,0.0,0.0,0.03,0.81,0.36
1.0,961.5,0.0,-0.01,0.0,0.8,0.35
1.0,961.5,0.0,-0.01,0.02,0.74,0.36
1.0,967.9,0.0,0.0,-0.01,0.71,0.4
1.0,966.7,0.0,0.0,-0.01,0.77,0.41
0.0,970.4,0.0,-0.02,-0.01,0.71,0.32
0.0,968.6,0.0,0.0,0.01,0.8,0.37
0.0,971.3,0.0,0.0,0.0,0.77,0.4
0.0,976.1,0.0,-0.01,0.01,0.79,0.37
0.0,977.0,0.0,-0.02,-0.02,0.71,0.37
1.0,984.0,0.0,0.01,0.01,0.73,0.37
2.0,982.1,0.0,-0.02,0.0,0.74,0.36
2.0,980.2,0.0,-0.01,0.01,0.71,0.37
2.0,981.3,0.0,0.0,-0.04,0.69,0.36
3.0,976.3,0.0,0.01,0.01,0.79,0.4
