AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
2.0,1225.8,0.0,-0.01,0.02,1.37,-0.07
2.0,1219.5,0.0,-0.01,0.0,1.4,-0.04
2.0,1083.6,0.0,0.0,0.02,1.47,-0.04
1.0,987.6,0.0,0.0,0.0,1.49,-0.04
2.0,958.7,0.0,-0.01,0.0,1.51,0.0
2.0,954.3,0.0,0.0,0.0,1.53,-0.01
2.0,954.2,0.0,0.0,0.01,1.51,-0.03
1.0,954.9,0.0,-0.01,0.02,1.49,-0.04
2.0,957.8,0.0,-0.01,0.01,1.48,0.02
3.0,956.7,0.0,0.0,0.01,1.48,0.03
3.0,956.0,0.0,-0.02,0.0,1.45,0.01
3.0,958.8,0.0,0.0,0.0,1.44,0.01
3.0,963.2,0.0,0.0,0.01,1.47,-0.01
3.0,965.4,0.0,-0.01,0.0,1.48,-0.04
2.0,964.3,0.0,-0.01,0.0,1.48,-0.02
1.0,963.2,0.0,-0.01,0.0,1.47,-0.02
1.0,966.7,0.0,0.0,-0.01,1.44,-0.05
1.0,970.7,0.0,0.0,0.0,1.44,-0.07
1.0,968.1,0.0,0.0,0.0,1.44,-0.05
1.0,966.3,0.0,-0.01,0.0,1.44,-0.08
2.0,962.2,0.0,0.0,0.0,1.43,-0.05
2.0,960.6,0.0,0.0,0.0,1.43,-0.05
2.0,973.2,0.0,0.01,0.0,1.43,-0.08
2.0,970.8,0.0,0.01,0.01,1.45,-0.05
1.0,964.9,0.0,0.01,0.0,1.44,-0.07
2.0,969.2,0.0,-0.01,0.0,1.42,-0.05
1.0,967.9,0.0,0.0,-0.02,1.41,-0.04
0.0,971.3,0.0,0.0,-0.01,1.42,-0.03
1.0,970.6,0.0,0.0,0.01,1.42,-0.04
0.0,968.7,0.0,-0.01,0.0,1.42,-0.04
0.0,969.6,0.0,0.0,0.02,1.43,-0.02
0.0,974.9,0.0,0.0,0.01,1.42,-0.07
1.0,970.6,0.0,0.0,0.0,1.42,-0.08
1.0,967.8,0.0,0.01,-0.01,1.43,-0.02
1.0,971.8,0.0,0.01,-0.01,1.41,-0.01
2.0,964.6,0.0,0.0,0.0,1.4,-0.02
2.0,961.9,0.0,0.01,-0.01,1.41,-0.05
2.0,971.1,0.0,0.01,0.01,1.41,-0.03
1.0,971.7,0.0,0.0,-0.01,1.42,-0.08
1.0,973.6,0.0,-0.01,0.0,1.42,-0.08
0.0,969.1,0.0,-0.01,-0.01,1.37,0.04
0.0,968.4,0.0,0.0,0.0,1.42,-0.05
0.0,972.2,0.0,0.0,0.0,1.43,-0.03
0.0,973.1,0.0,0.01,-0.02,1.42,0.0
0.0,971.3,0.0,0.0,0.01,1.42,-0.03
0.0,971.4,0.0,0.01,0.0,1.41,-0.04
1.0,969.8,0.0,0.0,0.0,1.42,-0.02
0.0,966.8,0.0,0.0,0.01,1.43,-0.08
0.0,968.9,0.0,0.02,0.0,1.44,-0.04
1.0,967.1,0.0,0.01,0.01,1.43,-0.05
0.0,969.4,0.0,0.0,-0.01,1.42,-0.04
0.0,971.5,0.0,0.0,-0.02,1.38,-0.07
0.0,973.3,0.0,0.0,0.0,1.44,-0.05
0.0,970.8,0.0,-0.01,-0.01,1.42,-0.05
0.0,968.6,0.0,0.0,0.0,1.43,-0.04
0.0,968.2,0.0,-0.01,0.0,1.45,-0.07
0.0,969.5,0.0,0.0,0.02,1.46,-0.03
0.0,971.2,0.0,0.0,0.01,1.43,0.02
0.0,966.3,0.0,0.0,0.0,1.41,0.01
0.0,966.0,0.0,0.0,0.0,1.43,0.0
0.0,968.0,0.0,0.01,-0.03,1.42,0.03
0.0,975.0,0.0,0.01,0.0,1.45,0.03
0.0,969.7,0.0,0.02,-0.01,1.46,-0.15
0.0,970.5,0.0,-0.01,0.02,1.46,-0.11
0.0,973.9,0.0,0.01,0.02,1.48,-0.04
0.0,973.3,0.0,0.0,0.0,1.44,-0.02
0.0,967.3,0.0,0.0,0.0,1.37,0.04
0.0,971.6,0.0,0.0,0.01,1.43,-0.03
0.0,969.9,0.0,0.0,0.0,1.43,-0.03
0.0,973.9,0.0,0.0,0.03,1.44,0.0
0.0,968.7,0.0,0.01,0.0,1.44,-0.01
0.0,977.6,0.0,0.01,-0.02,1.46,-0.04
0.0,979.8,0.0,0.0,0.0,1.45,-0.04
0.0,986.6,0.0,0.01,0.02,1.45,-0.08
0.0,982.0,0.0,0.0,0.01,1.48,-0.05
0.0,975.9,0.0,0.0,-0.01,1.45,-0.04
0.0,973.9,0.0,0.0,0.0,1.47,-0.04
0.0,974.7,0.0,0.02,0.0,1.47,-0.05
0.0,975.5,0.0,0.0,-0.01,1.44,-0.05
0.0,976.6,0.0,0.0,-0.01,1.46,-0.05
0.0,977.1,0.0,0.0,0.0,1.47,-0.05
0.0,981.0,0.0,0.0,0.0,1.48,-0.08
0.0,976.4,0.0,0.0,0.02,1.51,-0.07
0.0,977.4,0.0,0.01,0.01,1.46,-0.09
0.0,976.5,0.0,0.01,0.0,1.48,-0.08
1.0,976.5,0.0,0.0,0.01,1.49,-0.04
0.0,978.6,0.0,0.0,0.0,1.48,-0.07
0.0,983.2,0.0,0.0,0.01,1.47,-0.07
0.0,980.0,0.0,-0.01,0.0,1.47,-0.08
0.0,982.2,0.0,0.0,0.0,1.47,-0.09
0.0,978.1,0.0,0.01,0.01,1.48,-0.1
0.0,980.1,0.0,0.0,0.0,1.45,-0.09
0.0,977.6,0.0,0.01,-0.01,1.45,-0.07
0.0,980.1,0.0,0.0,0.0,1.47,-0.04
0.0,980.3,0.0,0.0,-0.01,1.45,-0.05
0.0,983.5,0.0,0.0,0.01,1.46,-0.07
0.0,984.9,0.0,0.0,-0.01,1.44,-0.04
0.0,983.9,0.0,0.0,0.0,1.42,-0.03
0.0,988.0,0.0,0.0,0.0,1.43,-0.05
0.0,989.0,0.0,0.0,-0.01,1.43,-0.04
0.0,983.0,0.0,0.0,-0.01,1.43,-0.08
0.0,984.5,0.0,0.01,-0.01,1.44,-0.05
0.0,987.1,0.0,0.0,0.0,1.44,-0.07
0.0,987.6,0.0,-0.01,0.0,1.46,-0.05
0.0,987.7,0.0,0.0,-0.02,1.43,-0.07
0.0,984.2,0.0,0.0,0.0,1.44,-0.04
0.0,985.9,0.0,0.0,0.0,1.45,-0.04
0.0,988.4,0.0,-0.01,0.0,1.44,-0.07
0.0,985.1,0.0,0.01,0.0,1.46,-0.05
0.0,989.9,0.0,0.01,0.0,1.46,-0.04
0.0,988.1,0.0,0.0,0.03,1.49,-0.04
0.0,983.8,0.0,0.01,-0.01,1.47,-0.05
0.0,983.6,0.0,0.0,0.0,1.46,-0.05
0.0,987.2,0.0,0.0,0.0,1.44,-0.04
0.0,979.5,0.0,0.01,0.01,1.46,-0.07
0.0,986.7,0.0,-0.01,-0.01,1.45,-0.05
0.0,985.4,0.0,-0.01,-0.01,1.43,-0.04
0.0,978.7,0.0,-0.01,0.01,1.46,-0.08
0.0,982.1,0.0,0.0,0.0,1.47,-0.07
0.0,979.7,0.0,0.0,0.02,1.46,-0.08
0.0,981.9,0.0,0.01,0.01,1.45,-0.07
0.0,985.6,0.0,0.0,0.01,1.45,-0.05
0.0,987.5,0.0,0.0,0.0,1.45,-0.07
0.0,987.4,0.0,0.01,-0.01,1.44,-0.1
0.0,982.5,0.0,0.0,0.0,1.46,-0.1
0.0,984.1,0.0,0.01,-0.01,1.46,-0.09
0.0,989.0,0.0,0.0,0.01,1.46,-0.09
0.0,993.8,0.0,0.0,0.0,1.44,-0.05
0.0,988.7,0.0,0.01,-0.01,1.43,-0.07
0.0,985.8,0.0,0.01,0.0,1.45,-0.07
0.0,989.7,0.0,0.0,0.0,1.43,-0.07
0.0,991.5,0.0,0.0,-0.02,1.41,-0.08
0.0,990.6,0.0,0.01,0.02,1.46,-0.08
0.0,991.2,0.0,-0.02,0.01,1.44,-0.07
0.0,991.4,0.0,0.0,0.0,1.42,-0.07
0.0,991.6,0.0,0.0,-0.01,1.43,-0.08
0.0,987.8,0.0,0.0,0.0,1.45,-0.07
0.0,985.9,0.0,0.02,-0.01,1.44,-0.07
0.0,984.3,0.0,0.0,0.0,1.43,-0.07
0.0,986.3,0.0,0.01,-0.02,1.42,-0.07
0.0,987.5,0.0,0.0,-0.01,1.43,-0.07
0.0,993.0,0.0,0.01,0.0,1.45,-0.07
0.0,989.7,0.0,0.0,0.0,1.46,-0.08
0.0,989.5,0.0,0.0,0.0,1.45,-0.1
0.0,990.0,0.0,0.0,0.0,1.44,-0.08
0.0,995.8,0.0,0.0,0.0,1.44,-0.07
0.0,992.4,0.0,0.0,0.01,1.45,-0.05
0.0,992.2,0.0,-0.01,0.02,1.44,-0.09
0.0,992.0,0.0,0.01,-0.02,1.42,-0.09
0.0,993.1,0.0,0.0,-0.02,1.43,-0.07
0.0,992.8,0.0,-0.01,0.01,1.46,-0.05
0.0,989.3,0.0,-0.01,0.02,1.43,-0.05
0.0,992.2,0.0,0.0,-0.01,1.4,-0.05
0.0,992.5,0.0,0.0,0.0,1.42,-0.08
0.0,994.6,0.0,0.0,-0.01,1.42,-0.05
0.0,990.6,0.0,0.0,-0.02,1.42,-0.04
0.0,992.5,0.0,0.0,0.01,1.45,-0.07
0.0,989.8,0.0,0.0,0.0,1.43,-0.05
0.0,996.4,0.0,0.0,0.0,1.42,-0.04
0.0,996.5,0.0,0.0,0.01,1.43,-0.04
0.0,992.9,0.0,0.0,-0.02,1.42,-0.04
0.0,994.8,0.0,0.0,0.02,1.44,-0.04
0.0,992.3,0.0,0.0,0.0,1.45,-0.07
0.0,990.8,0.0,0.01,0.0,1.46,-0.04
0.0,990.3,0.0,0.01,0.0,1.45,-0.05
0.0,996.6,0.0,0.0,0.0,1.45,-0.05
0.0,994.6,0.0,0.0,0.01,1.44,-0.04
0.0,991.8,0.0,0.01,0.0,1.45,-0.05
0.0,994.6,0.0,0.0,-0.01,1.43,-0.05
0.0,993.3,0.0,0.0,0.01,1.42,-0.05
0.0,989.4,0.0,0.0,0.0,1.43,-0.03
0.0,987.4,0.0,0.0,-0.01,1.42,-0.1
0.0,990.7,0.0,0.0,0.0,1.43,-0.07
0.0,990.7,0.0,0.0,0.01,1.41,-0.07
0.0,991.5,0.0,0.0,0.01,1.42,-0.1
0.0,992.0,0.0,0.0,-0.02,1.4,-0.07
0.0,996.7,0.0,0.0,0.01,1.41,-0.07
0.0,996.0,0.0,0.0,0.01,1.43,-0.04
1.0,989.9,0.0,0.01,-0.02,1.41,-0.07
1.0,991.9,0.0,-0.01,0.01,1.42,-0.11
1.0,985.9,0.0,0.0,0.0,1.41,-0.07
1.0,982.3,0.0,0.01,0.01,1.43,-0.08
0.0,985.1,0.0,0.01,0.01,1.45,-0.04
0.0,989.2,0.0,0.0,0.01,1.45,-0.08
0.0,989.0,0.0,0.0,0.0,1.43,-0.1
0.0,989.8,0.0,-0.01,-0.02,1.41,-0.05
0.0,987.3,0.0,0.0,0.0,1.44,-0.05
0.0,987.4,0.0,0.01,-0.01,1.43,-0.08
0.0,987.5,0.0,-0.01,-0.01,1.42,-0.05
0.0,989.0,0.0,0.0,-0.01,1.42,-0.09
0.0,988.5,0.0,0.01,0.0,1.41,-0.08
1.0,993.6,0.0,0.01,0.0,1.41,-0.12
1.0,989.9,0.0,0.0,-0.01,1.37,-0.1
0.0,988.2,0.0,0.01,0.02,1.41,-0.1
0.0,984.2,0.0,0.01,-0.01,1.4,-0.11
0.0,985.5,0.0,0.0,0.0,1.4,-0.12
