AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
3.0,1260.6,0.0,0.0,0.0,2.53,-0.02
3.0,1204.9,0.0,0.01,-0.01,2.55,-0.07
3.0,1196.4,0.0,0.01,-0.01,2.53,-0.04
3.0,1200.6,0.0,0.0,0.0,2.55,-0.05
3.0,1200.2,0.0,0.0,0.0,2.54,-0.04
3.0,1200.3,0.0,-0.01,0.0,2.54,-0.09
2.0,1196.9,0.0,0.0,0.02,2.56,-0.07
2.0,1198.5,0.0,0.01,-0.01,2.54,-0.07
2.0,1200.9,0.0,0.0,0.01,2.54,-0.09
2.0,1209.3,0.0,0.0,0.0,2.53,-0.05
1.0,1208.3,0.0,0.01,0.02,2.55,-0.08
1.0,1215.3,0.0,0.01,-0.03,2.5,-0.05
1.0,1215.1,0.0,0.01,0.0,2.53,-0.09
1.0,1221.6,0.0,0.0,0.01,2.55,-0.07
0.0,1223.6,0.0,0.0,-0.02,2.55,-0.03
0.0,1231.9,0.0,0.01,-0.01,2.53,-0.05
0.0,1232.4,0.0,0.0,0.0,2.54,-0.05
0.0,1231.8,0.0,0.0,0.0,2.53,-0.09
1.0,1232.3,0.0,0.0,0.01,2.5,-0.09
0.0,1235.1,0.0,0.0,-0.01,2.48,-0.11
0.0,1247.4,0.0,0.01,0.0,2.5,-0.05
0.0,1254.6,0.0,0.0,0.0,2.49,-0.04
0.0,1262.8,0.0,0.01,0.01,2.53,-0.05
0.0,1273.9,0.0,0.0,0.0,2.5,-0.08
0.0,1285.6,0.0,0.01,-0.02,2.48,-0.04
0.0,1291.9,0.0,0.01,0.04,2.55,-0.07
0.0,1298.7,0.0,0.0,-0.03,2.5,-0.07
0.0,1293.0,0.0,0.0,0.0,2.54,-0.07
0.0,1276.9,0.0,0.01,-0.01,2.52,-0.09
0.0,1246.2,0.0,0.0,-0.02,2.53,-0.11
0.0,1226.4,0.0,0.01,0.0,2.53,-0.05
0.0,1238.8,0.0,0.01,0.0,2.53,-0.05
0.0,1268.6,0.0,0.01,0.01,2.53,-0.09
0.0,1284.9,0.0,0.01,-0.03,2.53,-0.07
0.0,1284.6,0.0,0.0,-0.01,2.54,-0.05
0.0,1282.0,0.0,0.0,-0.01,2.56,-0.12
0.0,1285.0,0.0,0.01,0.0,2.57,-0.09
0.0,1288.8,0.0,0.0,0.0,2.56,-0.1
0.0,1288.7,0.0,0.0,0.01,2.56,-0.11
0.0,1287.2,0.0,-0.01,0.03,2.58,-0.12
0.0,1285.5,0.0,0.01,-0.03,2.54,-0.1
0.0,1290.8,0.0,0.0,-0.02,2.55,-0.11
0.0,1289.7,0.0,0.01,0.0,2.55,-0.12
1.0,1286.8,0.0,0.0,0.0,2.54,-0.08
1.0,1290.1,0.0,0.0,0.02,2.53,-0.1
1.0,1291.8,0.0,0.01,0.0,2.55,-0.09
1.0,1295.7,0.0,0.01,0.02,2.55,-0.1
1.0,1293.8,0.0,0.0,0.01,2.52,-0.08
1.0,1291.3,0.0,0.0,-0.02,2.52,-0.1
1.0,1293.8,0.0,0.01,-0.01,2.5,-0.08
1.0,1293.2,0.0,0.0,0.01,2.53,-0.09
0.0,1298.1,0.0,0.0,0.02,2.52,-0.11
0.0,1298.9,0.0,0.0,0.01,2.52,-0.1
0.0,1296.4,0.0,0.0,-0.02,2.48,-0.11
0.0,1297.6,0.0,0.01,-0.02,2.47,-0.1
0.0,1301.2,0.0,0.01,0.02,2.48,-0.12
