AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
1767.0,2484.3,102.31,-0.03,0.0,1.93,0.79
1767.0,2486.5,102.62,-0.04,0.01,2.01,1.04
1767.0,2485.9,102.6,-0.02,0.01,2.05,-0.3
1767.0,2486.0,102.45,-0.02,-0.01,1.98,-0.52
1768.0,2487.1,102.71,-0.03,-0.01,1.85,-0.19
1764.0,2489.4,103.31,-0.03,-0.01,1.72,0.56
1763.0,2491.5,103.47,-0.02,0.0,1.65,0.24
1762.0,2492.2,103.51,-0.03,0.0,1.63,0.07
1761.0,2495.1,103.65,-0.03,0.02,1.64,0.12
1763.0,2495.2,103.94,-0.03,0.01,1.74,0.54
1763.0,2495.2,104.15,-0.03,0.01,1.87,0.8
1764.0,2496.1,104.04,-0.03,0.02,2.01,1.19
1765.0,2495.5,103.99,-0.04,0.01,2.13,1.46
1766.0,2498.5,104.17,-0.03,-0.01,2.21,1.7
1767.0,2497.3,104.16,-0.03,0.0,2.33,2.35
1769.0,2495.2,104.03,-0.03,0.02,2.29,1.14
1770.0,2494.3,103.72,-0.03,0.01,2.24,0.62
1769.0,2492.7,103.45,-0.02,0.0,2.22,-0.24
1771.0,2494.6,103.79,-0.03,0.0,2.14,-1.3
1772.0,2496.8,104.48,-0.04,0.01,2.23,-0.96
1773.0,2498.5,104.44,-0.03,-0.02,2.19,-1.01
1776.0,2498.5,104.6,-0.03,0.04,2.33,-0.62
1778.0,2497.6,104.62,-0.03,-0.02,2.33,-0.15
1782.0,2498.3,104.45,-0.02,-0.02,2.38,0.19
1781.0,2496.3,104.19,-0.02,0.03,2.43,0.78
1783.0,2495.5,104.16,-0.05,0.0,2.48,1.68
1789.0,2495.7,104.39,-0.03,-0.02,2.45,1.77
1791.0,2493.7,104.19,-0.02,0.0,2.5,1.91
1790.0,2493.4,103.58,-0.04,-0.01,2.49,2.29
1792.0,2492.2,103.81,-0.03,-0.02,2.36,1.3
1793.0,2490.9,103.45,-0.02,-0.01,2.22,0.83
1794.0,2488.1,103.18,-0.02,-0.02,2.08,0.29
1794.0,2487.3,102.79,-0.03,-0.03,1.8,-0.18
1793.0,2485.4,102.9,-0.03,-0.02,1.61,0.94
1793.0,2488.5,103.18,-0.04,0.03,1.9,1.07
1795.0,2490.5,103.61,-0.03,0.02,2.14,1.32
1796.0,2494.1,103.66,-0.04,0.02,2.31,1.45
1798.0,2493.5,103.91,-0.03,-0.02,2.24,1.16
1800.0,2495.1,104.11,-0.03,-0.01,2.12,0.78
1801.0,2496.6,104.34,-0.04,-0.01,2.03,0.46
1802.0,2496.8,104.25,-0.03,-0.01,1.91,0.49
1801.0,2496.3,104.17,-0.03,-0.03,1.79,1.12
1801.0,2496.3,104.3,-0.04,0.0,1.77,1.49
1801.0,2496.1,104.62,-0.04,-0.02,1.68,1.72
1801.0,2497.7,104.54,-0.03,-0.01,1.59,1.49
1800.0,2497.5,104.49,-0.02,0.0,1.43,1.58
1800.0,2501.1,104.61,-0.03,0.0,1.33,1.08
1799.0,2500.5,104.84,-0.02,-0.02,1.19,0.67
1797.0,2502.2,105.01,-0.04,0.01,1.2,0.91
1795.0,2503.9,105.33,-0.04,0.0,1.27,1.16
1794.0,2503.8,105.33,-0.04,0.03,1.51,1.85
1794.0,2504.4,105.47,-0.03,0.02,1.64,2.08
1793.0,2506.2,105.47,-0.03,0.02,1.78,1.81
1793.0,2504.6,105.34,-0.04,0.0,1.78,1.07
1794.0,2507.7,105.74,-0.03,0.01,1.76,0.74
1795.0,2507.2,105.58,-0.04,0.0,1.76,0.37
1796.0,2506.2,105.63,-0.03,0.0,1.79,0.76
1801.0,2505.9,105.95,-0.03,-0.02,1.79,1.15
1803.0,2505.9,105.83,-0.02,-0.01,1.81,1.81
1805.0,2506.6,105.71,-0.04,-0.01,1.82,2.29
1806.0,2506.0,105.67,-0.03,0.0,1.75,2.34
1808.0,2508.4,105.55,-0.02,0.0,1.61,2.0
1809.0,2508.5,105.54,-0.04,0.0,1.54,1.27
1809.0,2508.2,106.05,-0.01,0.0,1.45,1.89
1812.0,2508.6,105.8,-0.04,0.0,1.36,1.19
1811.0,2508.7,105.98,-0.03,0.0,1.27,0.64
1811.0,2508.9,105.94,-0.03,0.0,1.21,0.42
1813.0,2509.3,106.22,-0.04,0.0,1.22,0.59
1810.0,2510.8,106.44,-0.03,0.0,1.37,1.07
1807.0,2512.9,106.53,-0.03,0.02,1.56,1.54
1808.0,2513.7,106.48,-0.04,0.01,1.64,1.85
1810.0,2513.1,106.6,-0.03,0.0,1.76,2.34
1811.0,2512.9,106.56,-0.04,0.03,1.87,2.71
1812.0,2512.7,106.28,-0.03,0.02,1.86,2.64
1810.0,2512.5,106.33,-0.03,0.01,1.8,1.79
1812.0,2512.3,106.28,-0.03,-0.02,1.68,1.7
